pde,r,seed,comparison,baseline,contrast,mse_comparison,mse_baseline,mse_ratio,log_mse_ratio,percent_mse_change
heat,0.25,118,stencil,original,stencil_vs_original,2.3426181769536925e-05,3.4301053247753903e-09,6829.580887890349,8.829018587269191,682858.0887890349
heat,0.25,119,stencil,original,stencil_vs_original,4.870517409472086e-05,3.429857928921587e-09,14200.347391658494,9.561021707491411,1419934.7391658493
heat,0.25,100,uniform,original,uniform_vs_original,1.8642328407647568e-06,3.840995454421764e-09,485.35148319913975,6.184873336090806,48435.14831991398
heat,0.25,101,uniform,original,uniform_vs_original,1.5911881138253037e-06,3.8083367822142056e-09,417.8170694505045,6.035043703842003,41681.70694505045
heat,0.25,102,uniform,original,uniform_vs_original,8.811115528306601e-07,3.7734212178508475e-09,233.50469029601135,5.453202163828032,23250.469029601136
heat,0.25,103,uniform,original,uniform_vs_original,1.72318656546655e-06,3.478590897103284e-09,495.3691355029686,6.205303212940334,49436.913550296864
heat,0.25,104,uniform,original,uniform_vs_original,1.3415426329543845e-06,2.973991440266554e-09,451.0916254803155,6.11167047957857,45009.16254803155
heat,0.25,105,uniform,original,uniform_vs_original,2.1690137210761407e-06,4.645593080360166e-09,466.89705352066267,6.146108791228049,46589.70535206627
heat,0.25,106,uniform,original,uniform_vs_original,1.1088776798451327e-06,4.569056794370696e-09,242.69290791292525,5.491796890686005,24169.290791292526
heat,0.25,107,uniform,original,uniform_vs_original,1.7337416161056218e-06,2.849411201780172e-09,608.4560961304796,6.410924758847549,60745.609613047964
heat,0.25,108,uniform,original,uniform_vs_original,1.690973500334536e-06,4.424584923272412e-09,382.1767532227399,5.945883206363303,38117.675322273986
heat,0.25,109,uniform,original,uniform_vs_original,1.841031333049692e-06,4.263320354733202e-09,431.83039975068993,6.0680329179895365,43083.03997506899
heat,0.25,110,uniform,original,uniform_vs_original,1.3934024698514236e-06,2.846687683320803e-09,489.48203135018673,6.193347753125582,48848.20313501867
