pde,r,seed,comparison,baseline,contrast,mse_comparison,mse_baseline,mse_difference,mse_ratio,log_mse_ratio,excess_comparison,excess_baseline,excess_difference,mse_sign
heat,0.1,117,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,9.927517530261555e-08,7.762384274245805e-08,2.16513325601575e-08,1.278926316904881,0.24602091101137388,0.2328322555327127,0.180509074790747,0.05232318074196571,higher
heat,0.1,118,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,2.147058166812599e-07,4.7376675166299627e-08,1.6732914151496028e-07,4.53188865465144,1.511138774163909,0.3204640047175071,0.0682105541255302,0.2522534505919769,higher
heat,0.1,119,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,2.540772514603163e-07,7.983919764198434e-08,1.7423805381833196e-07,3.1823622852480535,1.1576237780066394,0.5505551344056723,0.1698881302569263,0.380667004148746,higher
heat,0.1,100,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,9.41819739419536e-08,2.5760634545651806e-09,9.160591048738842e-08,36.56042469569166,3.598966362921424,0.1712420869376211,0.0,0.1712420869376211,higher
heat,0.1,101,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,2.280223061756903e-08,1.851161682275837e-09,2.0951068935293193e-08,12.317795271959032,2.511044986892851,0.0338233773580879,0.0,0.0338233773580879,higher
heat,0.1,102,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,6.794861306946842e-08,2.937641863272333e-09,6.501097120619609e-08,23.130325693880973,3.141144557159385,0.0957263134595334,0.0,0.0957263134595334,higher
heat,0.1,103,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,8.517339955549376e-08,2.2070528677212153e-09,8.296634668777254e-08,38.591463213763156,3.653031091746044,0.1372212313484544,0.0,0.1372212313484544,higher
heat,0.1,104,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,7.440260857416447e-08,2.8381259694829075e-09,7.156448260468157e-08,26.215400364248193,3.2663470382423476,0.1150691674800774,0.0,0.1150691674800774,higher
heat,0.1,105,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,8.52225642833382e-08,2.2164257382564782e-09,8.300613854508172e-08,38.45044876187794,3.649370367193763,0.1280943234081474,0.0,0.1280943234081474,higher
heat,0.1,106,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,7.791704925708133e-08,2.3133078855264166e-09,7.560374137155491e-08,33.68209210048602,3.5169663044427484,0.1431251800355646,0.0,0.1431251800355646,higher
heat,0.1,107,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,2.738574966798524e-08,1.6018236580900291e-09,2.578392600989521e-08,17.096607063875723,2.8388800265040848,0.0476195508823888,0.0,0.0476195508823888,higher
heat,0.1,108,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,9.311486116880818e-08,3.5700860215141794e-09,8.9544775147294e-08,26.081965702696262,3.2612441062540225,0.1250923366535026,0.0,0.1250923366535026,higher
heat,0.1,109,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,7.133854401653039e-08,2.590958609119398e-09,6.8747585407411e-08,27.53364865244859,3.3154088440613547,0.1146124837867186,0.0,0.1146124837867186,higher
heat,0.1,110,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,3.814742699503881e-08,1.365442717227161e-09,3.6781984277811646e-08,27.93777176717142,3.329979600010462,0.0743193218812669,0.0,0.0743193218812669,higher
heat,0.1,111,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,6.84406953332939e-08,2.6371650349577003e-09,6.58035302983362e-08,25.952374775965314,3.2562631189494655,0.0995737936102589,0.0,0.0995737936102589,higher
heat,0.1,112,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,4.6949918064420615e-08,1.8393139684935718e-09,4.511060409592704e-08,25.5257769302287,3.239688801598421,0.0875278118218362,0.0,0.0875278118218362,higher
heat,0.1,113,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,5.7659757080053e-08,2.535450119387633e-09,5.5124306960665365e-08,22.741428292811023,3.12418829606019,0.0861266746165736,0.0,0.0861266746165736,higher
heat,0.1,114,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,7.738704191351253e-08,2.882395209666266e-09,7.450464670384627e-08,26.848171844718227,3.290197730916808,0.1211701937948739,0.0,0.1211701937948739,higher
heat,0.1,115,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,7.211005925711333e-08,2.7079269399737926e-09,6.940213231713954e-08,26.629248445606592,3.2820101773324564,0.1438177781141512,0.0,0.1438177781141512,higher
heat,0.1,116,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,9.288994962108889e-08,3.1262487668048955e-09,8.976370085428399e-08,29.712910439953486,3.391581646304105,0.1667012549558457,0.0,0.1667012549558457,higher
heat,0.1,117,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,7.762384274245805e-08,2.9291863205826996e-09,7.469465642187535e-08,26.500138347982055,3.277149953657117,0.180509074790747,0.0,0.180509074790747,higher
heat,0.1,118,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,4.7376675166299627e-08,2.130065309031981e-09,4.5246609857267646e-08,22.24188853055881,3.1019773817196197,0.0682105541255302,0.0,0.0682105541255302,higher
heat,0.1,119,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,7.983919764198434e-08,2.078380812071956e-09,7.776081682991238e-08,38.414133337957416,3.6484254475537803,0.1698881302569263,0.0,0.1698881302569263,higher
heat,0.25,100,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,1.495596540124211e-05,2.198163098661443e-07,1.4736149091375966e-05,68.03846998591436,4.220073280295319,11.344086072485094,0.1643334999602926,11.179752572524801,higher
heat,0.25,101,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,4.517866667441695e-06,7.41745792599835e-08,4.443692088181712e-06,60.90855806012024,4.109373691281692,2.599460617758833,0.0408086489918775,2.5586519687669558,higher
heat,0.25,102,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,8.292439004264907e-05,4.838769397108589e-07,8.24405131029382e-05,171.37495763323753,5.143853890665745,45.4853257310917,0.2620032563853399,45.22332247470636,higher
heat,0.25,103,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,3.307187223100527e-05,2.0512479094458858e-07,3.2866747440060684e-05,161.22806062939097,5.082819888306833,21.540968589639345,0.1316067255559105,21.409361864083433,higher
heat,0.25,104,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,1.4686764979288114e-05,4.745931622106292e-07,1.4212171817077485e-05,30.94601049639645,3.4322440892516943,10.448582793447338,0.3346227808567607,10.113960012590578,higher
heat,0.25,105,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,6.518491187534892e-05,2.977013037093468e-07,6.488721057163957e-05,218.96078741727842,5.388892660895479,42.13571335264512,0.1896132131404205,41.9461001395047,higher
heat,0.25,106,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,6.208810786745289e-05,4.164877230559972e-07,6.16716201443969e-05,149.07548153371397,5.004452765147934,49.56038137437771,0.3294177104837242,49.23096366389399,higher
heat,0.25,107,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,1.7230960212444302e-05,2.486782255273906e-07,1.698228198691691e-05,69.29018483987213,4.238303263262693,15.783739812922096,0.2242605626925849,15.559479250229511,higher
