pde,r,comparison,baseline,contrast,n_model_seeds,mean_log_mse_ratio,mean_log_mse_ratio_ci_lower,mean_log_mse_ratio_ci_upper,geometric_mean_mse_ratio,geometric_mean_mse_ratio_ci_lower,geometric_mean_mse_ratio_ci_upper,percent_mse_change,percent_mse_change_ci_lower,percent_mse_change_ci_upper,fraction_model_seeds_with_higher_mse,confidence_level,bootstrap_replicates,bootstrap_seed,resampling_unit
heat,0.25,identity,original,identity_vs_original,20,8.921322785945957,8.524667865733678,9.248605199663226,7489.990333672081,5037.513397141964,10390.063540966104,748899.0333672081,503651.3397141964,1038906.3540966104,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.25,random,original,random_vs_original,20,5.95166953447895,5.752682995959588,6.138198497223242,384.39456361639554,315.0347644154111,463.2183296333946,38339.45636163955,31403.47644154111,46221.83296333946,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.25,stencil,frozen,stencil_vs_frozen,20,4.222381773779596,3.693741667926419,4.65052930452771,68.19571778348215,40.19496214221618,104.64035753653232,6719.571778348215,3919.4962142216177,10364.035753653232,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.25,stencil,original,stencil_vs_original,20,8.908859304642407,8.52012278354191,9.236625716797993,7397.2183112859275,5014.669437871483,10266.338513356715,739621.8311285927,501366.9437871483,1026533.8513356715,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.25,uniform,original,uniform_vs_original,20,5.9882942320884975,5.875898962322814,6.092192343039952,398.7338820490527,356.34485732751637,442.39021989690576,39773.38820490527,35534.48573275164,44139.02198969058,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.25,xcorr,original,xcorr_vs_original,20,6.466242306956859,6.374331352273606,6.56317753306622,643.0627487500183,586.593075656236,708.5194655506875,64206.27487500183,58559.3075656236,70751.94655506875,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.4,acf,original,acf_vs_original,20,6.702931667068957,6.552595771914478,6.853569243440736,814.7910231666965,701.061610008056,947.2558668508525,81379.10231666965,70006.1610008056,94625.58668508525,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.4,frozen,original,frozen_vs_original,20,4.971878255966157,4.820734290451753,5.122494705486381,144.29766094284557,124.05615059041749,167.753343229517,14329.766094284556,12305.61505904175,16675.334322951698,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.4,identity,original,identity_vs_original,20,9.28598183108078,8.933829593947207,9.608504493615479,10785.757912927209,7584.254447561994,14890.884014829058,1078475.791292721,758325.4447561994,1488988.4014829057,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.4,random,original,random_vs_original,20,6.331708564601856,6.1403906936878405,6.533903760496716,562.1161856742187,464.23490908177365,688.0790712670494,56111.61856742187,46323.490908177366,68707.90712670493,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.4,stencil,frozen,stencil_vs_frozen,20,4.293656501413894,3.909860453257627,4.654624632874545,73.23375887087272,49.89198922303802,105.06977285717309,7223.375887087272,4889.198922303802,10406.977285717308,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.4,stencil,original,stencil_vs_original,20,9.26553475738005,8.905327846368607,9.592374421999674,10567.460107119301,7371.141415313289,14652.619764882742,1056646.01071193,737014.1415313289,1465161.9764882743,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.4,uniform,original,uniform_vs_original,20,6.197929191907459,6.098067219812557,6.301524152979027,491.729708177057,444.99685726370853,545.4025538783152,49072.9708177057,44399.68572637085,54440.255387831516,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.4,xcorr,original,xcorr_vs_original,20,6.70263183907384,6.553164147976459,6.854398627002611,814.5467626276849,701.4601899060648,948.0418311836033,81354.67626276848,70046.01899060648,94704.18311836034,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.1,acf,original,acf_vs_original,20,6.856357700905446,6.7611614479133735,6.950018914793403,949.9009356608034,863.6446918282968,1043.1694593285044,94890.09356608034,86264.46918282968,104216.94593285045,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.1,frozen,original,frozen_vs_original,20,5.908068835077117,5.728362287202198,6.083451629702954,367.99481009880935,307.4653159425731,438.54026399352824,36699.48100988093,30646.53159425731,43754.02639935282,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.1,identity,original,identity_vs_original,20,7.962086547595604,7.533562084432958,8.441615199679523,2870.0552160075035,1869.7538766710877,4636.037065987543,286905.52160075033,186875.38766710876,463503.70659875433,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.1,random,original,random_vs_original,20,6.7799452219557494,6.667686353388433,6.8909829398094535,880.0205169846481,786.5736441426935,983.3675334193575,87902.05169846481,78557.36441426935,98236.75334193575,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.1,stencil,frozen,stencil_vs_frozen,20,2.0418689676476514,1.5239315408919263,2.6150882211396755,7.704996138837252,4.590236468292374,13.668422168486162,670.4996138837253,359.02364682923735,1266.842216848616,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.1,stencil,original,stencil_vs_original,20,7.949937802724767,7.520500819441558,8.423741041865442,2835.39859092347,1845.4913205813225,4553.907988460502,283439.859092347,184449.13205813224,455290.79884605017,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.1,uniform,original,uniform_vs_original,20,6.7510091485327,6.633061386639294,6.87114075402568,854.9210696980231,759.8046696583564,964.0476800552933,85392.1069698023,75880.46696583564,96304.76800552933,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.1,xcorr,original,xcorr_vs_original,20,6.855717966670376,6.75927357763397,6.949603660399684,949.2934458490699,862.0157807528274,1042.7363685547718,94829.344584907,86101.57807528274,104173.63685547719,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.25,acf,original,acf_vs_original,20,7.820080148419296,7.682537957451038,7.956530003817345,2490.104978024619,2170.120462032325,2854.1518533374306,248910.4978024619,216912.04620323252,285315.18533374305,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.25,frozen,original,frozen_vs_original,20,7.088868359799531,6.911220980048965,7.261740563478537,1198.5507047237704,1003.4717135525897,1424.7342206440746,119755.07047237705,100247.17135525896,142373.42206440747,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.25,identity,original,identity_vs_original,20,8.030743849952055,7.696189506548239,8.483884107337913,3074.027438196155,2199.949108432665,4836.1977751812565,307302.7438196155,219894.9108432665,483519.77751812566,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.25,random,original,random_vs_original,20,7.818071211360707,7.653908262491188,7.977917928970407,2485.107535309158,2108.8715278773516,2915.853724983771,248410.75353091577,210787.15278773516,291485.3724983771,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.25,stencil,frozen,stencil_vs_frozen,20,0.9168275081655846,0.5261859583473268,1.456120313836374,2.501342300954008,1.692464851444059,4.289286121448926,150.13423009540082,69.2464851444059,328.9286121448926,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.25,stencil,original,stencil_vs_original,20,8.005695867965114,7.671899316407307,8.45760451088402,2997.9855775637993,2147.1557029263513,4710.759896737543,299698.55775637995,214615.57029263512,470975.9896737543,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.25,uniform,original,uniform_vs_original,20,7.818280689972655,7.65359848107914,7.9787071435329135,2485.6281667148623,2108.2183398555944,2918.155867528385,248462.81667148625,210721.83398555944,291715.5867528385,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.25,xcorr,original,xcorr_vs_original,20,7.820376763964587,7.681430741831632,7.953601395897734,2490.8436914220297,2167.719000473978,2845.805389341709,248984.36914220298,216671.90004739782,284480.5389341709,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.4,acf,original,acf_vs_original,20,7.96634059264304,7.733611062819713,8.167762059082817,2882.290566599504,2283.8343978318762,3525.445390159036,288129.0566599504,228283.4397831876,352444.5390159036,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.4,frozen,original,frozen_vs_original,20,7.473095641447296,7.241915843054008,7.683191187183435,1760.0467346310527,1396.7673962311585,2171.5385123468955,175904.67346310528,139576.73962311586,217053.85123468956,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.4,identity,original,identity_vs_original,20,8.138396361863485,7.794167274490431,8.563100948396913,3423.423531169689,2426.4080510901645,5234.889150531683,342242.3531169689,242540.80510901645,523388.9150531683,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.4,random,original,random_vs_original,20,7.992473206107563,7.77124392333524,8.186808387516525,2958.6051587656953,2371.4193182412323,3593.2357099792507,295760.51587656955,237041.93182412322,359223.57099792507,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.4,stencil,frozen,stencil_vs_frozen,20,0.6408807578541882,0.3232620614329788,1.1006864713671773,1.8981519555334476,1.3816273747169798,3.0062290059121306,89.81519555334476,38.16273747169798,200.62290059121307,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.4,stencil,original,stencil_vs_original,20,8.113976399301485,7.760055616513797,8.545509550422098,3340.836151170195,2345.0350243219177,5143.605390628403,333983.6151170195,234403.50243219177,514260.53906284034,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.4,uniform,original,uniform_vs_original,20,7.964554796624012,7.741380765083839,8.157489557690742,2877.1479767548954,2301.648225576737,3489.415622235585,287614.79767548956,230064.82255767367,348841.5622235585,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
lf,0.4,xcorr,original,xcorr_vs_original,20,7.967708940984574,7.731344786579421,8.170751096935641,2886.2372437148656,2278.664458667193,3535.998844357975,288523.7243714866,227766.44586671927,353499.8844357975,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
