pde,r,seed,target,substitution,mse,mse_original,mse_persistence,excess,ratio,skill
wave,0.25,210,layer3,stencil,0.0046156218741089106,0.0026378123729955405,0.00276963016949594,15.004115935949306,1.749791577809357,0.04759400657611624
wave,0.25,210,layer3,acf,0.0029493463807739317,0.0026378123729955405,0.00276963016949594,2.3633683466818276,1.1181031717675236,0.04759400657611624
wave,0.25,210,layer3,xcorr,0.0029494475456885993,0.0026378123729955405,0.00276963016949594,2.364135806898531,1.118141523591066,0.04759400657611624
wave,0.25,210,layer3,uniform,0.002750926127191633,0.0026378123729955405,0.00276963016949594,0.858106850509745,1.042881652749107,0.04759400657611624
wave,0.25,210,layer3,random,0.002756551722995937,0.0026378123729955405,0.00276963016949594,0.9007839089468949,1.0450143274843897,0.04759400657611624
wave,0.25,210,layer3,identity,0.0046632353332825005,0.0026378123729955405,0.00276963016949594,15.365322544143865,1.7678419363795987,0.04759400657611624
wave,0.25,210,layer3,frozen,0.002749999810475856,0.0026378123729955405,0.00276963016949594,0.8510795997107673,1.042530484210639,0.04759400657611624
wave,0.25,210,layer3,original,0.0026378123729955405,0.0026378123729955405,0.00276963016949594,0.0,1.0,0.04759400657611624
wave,0.25,211,all,stencil,0.0030598058365285397,0.0026776828162837774,0.002781704068183899,3.6735091461085916,1.1427066036055353,0.037394794467850885
wave,0.25,211,all,acf,0.0029268648358993232,0.0026776828162837774,0.002781704068183899,2.395491450677827,1.0930588261239145,0.037394794467850885
wave,0.25,211,all,xcorr,0.002926640852820128,0.0026776828162837774,0.002781704068183899,2.3933382072289775,1.0929751780242094,0.037394794467850885
wave,0.25,211,all,uniform,0.002776969806291163,0.0026776828162837774,0.002781704068183899,0.954487551281524,1.0370794439892552,0.037394794467850885
wave,0.25,211,all,random,0.0027831604529637843,0.0026776828162837774,0.002781704068183899,1.0140008388024766,1.0393913857304407,0.037394794467850885
wave,0.25,211,all,identity,0.0030637138697784394,0.0026776828162837774,0.002781704068183899,3.711078711735932,1.144166086867008,0.037394794467850885
wave,0.25,211,all,frozen,0.002768576523521915,0.0026776828162837774,0.002781704068183899,0.8737993975059196,1.0339449118788029,0.037394794467850885
wave,0.25,211,all,original,0.0026776828162837774,0.0026776828162837774,0.002781704068183899,0.0,1.0,0.037394794467850885
wave,0.25,211,layer0,stencil,0.002962714061141014,0.0026776828162837774,0.002781704068183899,2.740125115307362,1.1064469783814117,0.037394794467850885
wave,0.25,211,layer0,acf,0.0028194846818223596,0.0026776828162837774,0.002781704068183899,1.363200912778252,1.0529569315216287,0.037394794467850885
wave,0.25,211,layer0,xcorr,0.0028189223958179355,0.0026776828162837774,0.002781704068183899,1.3577954211680954,1.0527469417495001,0.037394794467850885
wave,0.25,211,layer0,uniform,0.0028060749464202672,0.0026776828162837774,0.002781704068183899,1.2342874921344782,1.047948968920329,0.037394794467850885
wave,0.25,211,layer0,random,0.0028117603214923292,0.0026776828162837774,0.002781704068183899,1.2889433914647512,1.050072213330566,0.037394794467850885
wave,0.25,211,layer0,identity,0.002961639082059264,0.0026776828162837774,0.002781704068183899,2.729790889732168,1.1060455196741994,0.037394794467850885
