circulant_residual,locality,row_sum,row_sum_sd,coef_-1,coef_+0,coef_+1,stencil_rel_error,stencil_corr,pde,r,seed,input_step,r2_linearity,jacobian_spread
0.0010569438477650423,0.9471390843391418,0.9243028163909912,0.0010143712861463428,-0.00047187291784211993,0.9799814820289612,-0.0004608258022926748,1.6065645599763134,0.317252131642423,heat,0.4,119,0,0.9999918559906924,0.016750909388065338
0.0027596736616864836,0.8577260971069336,0.809231698513031,0.0007916642352938652,-0.0019117476185783744,0.9786561131477356,-0.004170774482190609,1.705632442423067,-0.022862502222588028,lf,0.1,300,0,0.9998509244118885,0.014547187834978104
0.0022615880484166146,0.9262673854827881,0.9144508838653564,0.0007935055764392018,-0.0008925802540034056,0.9816121459007263,-0.003263829741626978,1.7076571694312788,-0.02382149280345812,lf,0.1,301,0,0.9999792618841727,0.007318580523133278
0.0012919180900965513,0.9461930990219116,0.9498635530471802,0.0005090744816698134,-0.0009270309237763286,0.9787052273750305,-0.0012256712652742863,1.7032710350005336,-0.023399542925144828,lf,0.1,302,0,0.9999988932884577,0.0002204128832090646
0.001769420736848979,0.9507369995117188,0.9687074422836304,0.0005314655136317015,-0.0017294088611379266,0.9787924885749817,-0.002817253116518259,1.7047376474662872,-0.025540745823418764,lf,0.1,303,0,0.9999522398793401,0.00026471741148270667
0.0015833000598586733,0.9442465305328369,0.9525449275970459,0.0005754275480285287,-0.00101258244831115,0.9798604249954224,-0.0027338576037436724,1.70544349970072,-0.02450038288841523,lf,0.1,304,0,0.999753831066926,0.028756974264979362
0.0018999106158900875,0.9425332546234131,0.9385653734207153,0.0005206225905567408,-0.0006752358167432249,0.9777087569236755,-0.0022963793016970158,1.7025346059728976,-0.023665281933880164,lf,0.1,305,0,0.9998364083001832,0.0030747975688427687
0.001744733769820441,0.9461627006530762,0.9556856155395508,0.000681207631714642,-0.0009162146016024053,0.9744618535041809,-0.002400456229224801,1.6990733717955022,-0.0244117658280808,lf,0.1,306,0,0.9999675466966629,0.03745574131608009
0.0013834613488574944,0.9275065064430237,0.9278883337974548,0.0009292328031733632,-0.0008722014026716352,0.970728874206543,-0.002087024739012122,1.6946658772554746,-0.023606542672149598,lf,0.1,307,0,0.9999954923989989,0.004336400423198938
0.001889483896508044,0.938681960105896,0.9394688606262207,0.0010391706600785255,-0.0018577101873233914,0.9772782921791077,-0.002882494358345866,1.7031303532707711,-0.02504327493761597,lf,0.1,308,0,0.9999996926167132,0.0035392288118600845
0.0014901347178609687,0.9326865077018738,0.9215291738510132,0.0008250605314970016,-0.0005952384672127664,0.9751620888710022,-0.0012672054581344128,1.6990624359417243,-0.022579900053198983,lf,0.1,309,0,0.9999977286244242,0.015182371251285076
0.002135344600167654,0.9353066086769104,0.9501814842224121,0.0008952109492383897,-0.002056221943348646,0.9743556380271912,-0.0037605774123221636,1.7004442889785478,-0.026115446458540307,lf,0.1,310,0,0.9999968585940582,0.014628277160227299
0.0016303603957212966,0.937688946723938,0.9438952207565308,0.0006201511714607477,-0.0022055418230593204,0.9748036861419678,-0.003479966428130865,1.700871442765726,-0.02589107253950214,lf,0.1,311,0,0.9999996841863636,0.01037592627108097
0.0021025532947066055,0.9073471426963806,0.8866884708404541,0.0015781251713633537,-0.0007569795707240701,0.9773451685905457,-0.002540669171139598,1.7023685965840427,-0.022689040298616292,lf,0.1,312,0,0.9998079370900742,0.04326056316494942
0.0026320165668827747,0.9368260502815247,0.9464420080184937,0.0006436876719817519,-0.0011565336026251316,0.9789256453514099,-0.002756316913291812,1.7044834532954984,-0.024512845955663984,lf,0.1,313,0,0.999988095137417,0.0012265651021152735
0.0021191756222190402,0.9041604995727539,0.8816424012184143,0.0005164510803297162,-0.0009633857989683747,0.9807479977607727,-0.0034080492332577705,1.7068385350121518,-0.023230686505301523,lf,0.1,314,0,0.9999994638057436,0.0008880689274519682
0.0018127256517846504,0.9403130412101746,0.9399483799934387,0.00040647984133102,-0.00024263979867100716,0.9792162775993347,-0.0030636501032859087,1.7043895136714509,-0.023818103559206542,lf,0.1,315,0,0.9999993187406924,0.002281704917550087
0.0018065296263306883,0.939028263092041,0.9407682418823242,0.0006529743550345302,-0.0007045215461403131,0.9725688695907593,-0.0014280813047662377,1.6962852704981046,-0.023288705871842213,lf,0.1,316,0,0.9999853875126404,0.04011324420571327
0.0010720012556135745,0.956600546836853,0.9626678824424744,0.0004368748050183058,-0.000508773373439908,0.9795823693275452,-0.0010364336194470525,1.7038911054621702,-0.023213976875607903,lf,0.1,317,0,0.999999806341833,0.020060231909155846
0.0027215260173735992,0.894895076751709,0.8704360127449036,0.0003547499072737992,-0.0015595726436004043,0.9782919883728027,-0.004164373502135277,1.70485748432933,-0.024010182353777054,lf,0.1,318,0,0.9999996443337579,0.0014390774304047227
0.002150596498871681,0.9369139671325684,0.947765052318573,0.0004445255908649415,-0.001256810617633164,0.9792737364768982,-0.003244296181946993,1.705224159924414,-0.02493832013488285,lf,0.1,319,0,0.9999993312286725,0.0007486653630621731
0.005197584410811463,0.8524383902549744,0.854783296585083,0.0014365649549290538,0.00032078716321848333,0.9804906845092773,-0.005863196216523647,1.6789046408243518,-0.021929034787602025,lf,0.25,300,0,0.9998725900425959,0.012973612174391747
0.0029206540223930917,0.9010996222496033,0.9528425931930542,0.0008456444484181702,0.0010042998474091291,0.9732565879821777,-0.00612541101872921,1.6705296172635629,-0.02386209007919421,lf,0.25,301,0,0.9999790054348074,0.01315421611070633
0.002790114827004575,0.8856393098831177,0.9052724838256836,0.0015055686235427856,5.324366793502122e-05,0.9762241840362549,-0.005707124248147011,1.6741876536951392,-0.023334109184689117,lf,0.25,302,0,0.9999898935478373,0.0005972531507723033
0.0021576837837336904,0.9227332472801208,0.9720520973205566,0.0007915021851658821,-0.00011473431368358433,0.9671574831008911,-0.003513162024319172,1.6633581762177685,-0.02405523161891257,lf,0.25,303,0,0.9998832025230308,0.001960009103640914
0.003096367702866579,0.912486732006073,0.9629404544830322,0.0006726905121468008,0.00027479114942252636,0.9687897562980652,-0.0035821336787194014,1.6650140696597144,-0.02348655630785135,lf,0.25,304,0,0.9996636298378809,0.035051312297582626
0.002882679364577678,0.911355197429657,0.9523740410804749,0.0008979457197710872,0.0002983390004374087,0.9711775779724121,-0.0031633828766644,1.6673478415021246,-0.022939371610660373,lf,0.25,305,0,0.999770183893741,0.010698738507926464
