pde,r,seed,layer,head,window_mass,centrality,asymmetry,width,shift,pred_stencil_centrality,pred_stencil_asymmetry,pred_stencil_width,pred_stencil_shift,pred_acf_centrality,pred_acf_asymmetry,pred_acf_width,pred_acf_shift,pred_xcorr_centrality,pred_xcorr_asymmetry,pred_xcorr_width,pred_xcorr_shift,label,entropy
heat,0.1,101,0,0,0.20333635620772839,0.33581861569261723,-0.035189398503523796,2.527707915393797,-0.12518766138072634,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9948658389177476
heat,0.1,101,0,1,0.3568026381544769,0.28596625639570294,-0.01762386395012298,3.465553328043993,-0.04784255872324206,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.5885676145103363
heat,0.1,101,0,2,0.13403965812176466,0.3317018906413613,-0.007060568048866867,2.58333708020281,-0.03718684502535341,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.999642014113136
heat,0.1,101,0,3,0.1936577707529068,0.3306414406161608,-0.005409935219394501,2.6077416872041796,0.04560729432779065,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.994441121865546
heat,0.1,101,1,0,0.15445863641798496,0.33162120535578204,-0.03330005093522584,2.59610547955442,-0.12066168888464851,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9983674450751676
heat,0.1,101,1,1,0.08835215889848769,0.2557112056918344,0.02225098376036591,3.679971836858182,0.14526381746072414,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.6566729348496247
heat,0.1,101,1,2,0.18297972902655602,0.33491180060623255,0.021181248301934935,2.5373373568154785,0.04753999058639041,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,acf_or_spectral,0.9970309771252024
heat,0.1,101,1,3,0.13585514947772026,0.32131986126373185,0.0035363462825342123,2.8500072568142283,0.10719122688861693,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9340086627452104
heat,0.1,101,2,0,0.08862062729895115,0.33258006608731544,0.0006853299391348255,2.602980862808517,0.01513205612941143,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9907718886517708
heat,0.1,101,2,1,0.11715299263596535,0.3338655120647725,0.004986747007846111,2.584652277169963,0.007680921502936255,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.998786120399986
