pde,r,seed,condition,device,device_name,weight_minus,weight_center,weight_plus,initial_minus,initial_center,initial_plus,stencil_minus,stencil_center,stencil_plus,coefficient_l1,coefficient_l2,coefficient_max_abs,initial_coefficient_l2,centrality,asymmetry,target_centrality,target_asymmetry,mse_fitted,mse_fixed,mse_initial,mse_stencil,mse_persistence,skill,excess_initial,excess_stencil,train_rows,statistics_seconds,fit_seconds,total_seconds,label
heat,0.25,108,heat_r0.25,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.2500000106016188,0.49999999181648513,0.24999999758189614,0.5003193721322279,0.2799585039813545,0.21972212388641757,0.25,0.5,0.25,2.120323752685671e-08,1.3609241826952715e-08,1.0601618805061719e-08,0.33465623827555613,0.49999999181648513,-2.6039444896012884e-08,0.5,0.0,6.48758815922809e-18,6.48758815922809e-18,1.9022164922909343e-05,6.4803677509516765e-18,1.6794643212253957e-06,0.9999999999961371,11.3263286886006,-4.299232907295702e-15,102400000,3.2651668999997128,0.058990899999116664,3.6188978000000134,stencil
heat,0.25,109,heat_r0.25,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.25000041762693626,0.4999992071595113,0.2500003752135525,0.29347567312808825,0.3611147128380483,0.34540961403386344,0.25,0.5,0.25,1.585680977467252e-06,9.714903542504167e-07,7.928404887058704e-07,0.17401796342357576,0.4999992071595113,-8.482663299112378e-08,0.5,0.0,8.600029137297802e-18,8.600029137297802e-18,5.683155154897689e-07,5.53279462611835e-18,1.1691942078826429e-06,0.9999999999926444,0.4860745217978307,-2.623374705863993e-12,102400000,3.270095300000321,0.08736260000023321,3.64481109999997,stencil
heat,0.25,110,heat_r0.25,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.25000045414720146,0.49999908110105584,0.25000046475174287,0.41417564504240983,0.3683404067691952,0.21748394818839492,0.25,0.5,0.25,1.83779788848204e-06,1.125441750009148e-06,9.188989441577533e-07,0.21294408782637594,0.49999908110105573,2.1209043845389788e-08,0.5,0.0,1.0476831372344808e-17,1.0476831372344808e-17,8.487330137598674e-06,5.526533464889755e-18,1.3682183112142012e-06,0.9999999999923427,6.203198764472941,-3.618061435751363e-12,102400000,3.301660400000401,0.05959740000071179,3.5538753000000725,stencil
heat,0.25,111,heat_r0.25,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.24999972974784143,0.500000572949842,0.24999969730231664,0.2162058422639264,0.3334072929242092,0.4503868648118644,0.25,0.5,0.25,1.1458996839464053e-06,7.020923288208827e-07,5.72949842014836e-07,0.26277380146631685,0.500000572949842,-6.48911239480069e-08,0.5,0.0,8.360654529627573e-18,8.360654529627573e-18,1.277110573596353e-05,6.309635357858586e-18,1.4689359674675937e-06,0.9999999999943083,8.69412011065731,-1.3962617957517666e-12,102400000,3.360018499999569,0.10422330000073998,3.7245247000000745,stencil
heat,0.25,112,heat_r0.25,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.24999980451682952,0.500000223497975,0.24999997198519544,0.3497236526523424,0.4195149524607564,0.2307613948869012,0.25,0.5,0.25,4.4699595005970316e-07,2.9824460439933477e-07,2.234979750159738e-07,0.12958693492176243,0.5000002234979751,3.3493688156490736e-07,0.5,0.0,1.1739281451326135e-17,1.1739281451326135e-17,3.2903057814389547e-06,5.027641854827373e-18,1.681489470838265e-06,0.9999999999930185,1.9567804845128682,-3.9914847597586784e-12,102400000,3.320093799999995,0.06828939999923023,3.601431699999921,stencil
heat,0.25,113,heat_r0.25,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.2500003749999104,0.49999922699324767,0.25000039800684193,0.32684497616611696,0.3250851709034707,0.34806985293041226,0.25,0.5,0.25,1.5460135046607704e-06,9.468758198262792e-07,7.730067523303852e-07,0.21475112072730101,0.49999922699324767,4.601379191519666e-08,0.5,0.0,7.94404209207694e-18,7.94404209207694e-18,2.0767682840578527e-07,5.307224802144215e-18,1.0359861322672383e-06,0.9999999999923319,0.20046294243817384,-2.545224504291688e-12,102400000,3.3331002000004446,0.09568129999934172,3.684912599999734,stencil
heat,0.25,114,heat_r0.25,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.2500001918939295,0.4999996389412196,0.2500001691648509,0.26878382080812224,0.3369747466460399,0.3942414325458379,0.25,0.5,0.25,7.221175608029817e-07,4.4249685858199717e-07,3.610587803737353e-07,0.21848491027562986,0.4999996389412196,-4.545812441233279e-08,0.5,0.0,6.7291693811669175e-18,6.7291693811669175e-18,3.7046632146876824e-06,5.841062281599314e-18,1.5183524332995833e-06,0.9999999999955681,2.439923125520102,-5.849149908111674e-13,102400000,3.2784891999999672,0.07260000000042055,3.6132660000002943,stencil
heat,0.25,115,heat_r0.25,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.2500000640539861,0.4999998805083039,0.25000005543770987,0.3308973586669192,0.38611794357421153,0.2829846977588692,0.25,0.5,0.25,2.3898339207573116e-07,1.4647360939033658e-07,1.1949169609337673e-07,0.14353221137185404,0.49999988050830396,-1.7232548377789712e-08,0.5,0.0,5.620605576516084e-18,5.620605576516084e-18,5.832999464094537e-07,5.559995811609982e-18,1.5949213617502694e-06,0.9999999999964759,0.3657233268013756,-3.8001726204107246e-14,102400000,3.277503700000125,0.08147269999972195,3.5428692000004958,stencil
heat,0.25,116,heat_r0.25,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.24999991436668012,0.5000001243046694,0.24999996132865046,0.4389968773703235,0.29855924457181293,0.26244387805786346,0.25,0.5,0.25,2.4860933886539094e-07,1.5582101782173854e-07,1.2430466944657326e-07,0.27650144249954783,0.5000001243046694,9.392396403090383e-08,0.5,0.0,6.599225520717186e-18,6.599225520717186e-18,6.7553217722999675e-06,6.0737515711458056e-18,1.2494103804355302e-06,0.9999999999947181,5.406807785584606,-4.205775442581019e-13,102400000,3.2721363000000565,0.07359699999960867,3.596301100000346,stencil
heat,0.25,117,heat_r0.25,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.2499994765641805,0.5000009939262781,0.24999952950954146,0.3113509751724119,0.36793612569810213,0.32071289912948603,0.25,0.5,0.25,1.9878525560901306e-06,1.2178816752542009e-06,9.93926278058943e-07,0.1618799652629387,0.5000009939262781,1.0589093240869841e-07,0.5,0.0,1.1860245372655801e-17,1.1860245372655801e-17,1.2047961498593503e-07,5.525622383644902e-18,1.452341944502106e-06,0.9999999999918338,0.08295540553045286,-4.361660842367445e-12,102400000,3.2368849000004047,0.10351629999968281,3.5840736999998626,stencil
heat,0.25,118,heat_r0.25,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.2500009551233637,0.4999986285556189,0.25000041632101755,0.2819267757831649,0.34853514250753276,0.36953808170930225,0.25,0.5,0.25,2.742888762341522e-06,1.7223366453710075e-06,1.37144438111525e-06,0.19557677532330295,0.4999986285556189,-1.0776017365150128e-06,0.5,0.0,6.922557762628315e-17,6.922557762628315e-17,1.5743248643313062e-06,5.255988221688702e-18,1.0842846731904593e-06,0.9999999999361555,1.4519479093347432,-5.899704292642161e-11,102400000,3.2660472999996273,0.07602010000027803,3.603336799999852,stencil
heat,0.25,119,heat_r0.25,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.24999892060904672,0.5000020796127241,0.2499989997782292,0.2937277125487993,0.38945077385633686,0.3168215135948639,0.25,0.5,0.25,4.159225448219228e-06,2.5476101552638517e-06,2.0796127241373696e-06,0.13637580036363406,0.5000020796127241,1.5833902354272644e-07,0.5,0.0,2.8391866921866067e-17,2.8391866921866067e-17,1.6500737717558043e-07,5.4291056103573276e-18,1.230430749006821e-06,0.9999999999769252,0.1341053751169554,-1.8662376026097918e-11,102400000,3.2818947999994634,0.10076590000062424,3.642446800000471,stencil
heat,0.4,100,heat_r0.4,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.3999999262798752,0.19999991507863424,0.4000001586414905,0.2845341735074086,0.26542833370282165,0.45003749278976973,0.4,0.19999999999999996,0.4,3.172829810549338e-07,1.9445672441286047e-07,1.5864149049971132e-07,0.14183432103490068,0.19999991507863424,2.9045198834013055e-07,0.19999999999999996,0.0,8.851573353932952e-18,8.851573353932952e-18,3.0240516085236766e-06,2.99166085544316e-18,1.9229258954148863e-06,0.9999999999953968,1.572630341990523,-3.0473938244263145e-12,102400000,3.270684600000095,0.0718894999999975,3.573634800000036,stencil
heat,0.4,101,heat_r0.4,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.39999894320724916,0.20000189073109448,0.3999991660616565,0.3759087678875525,0.3374729329438622,0.28661829916858533,0.4,0.19999999999999996,0.4,3.7814621889342703e-06,2.3210187743558995e-06,1.8907310945226463e-06,0.17981825502520007,0.20000189073109448,2.785686675191038e-07,0.19999999999999996,0.0,2.632795754940269e-17,2.632795754940269e-17,1.2719121063781883e-06,3.471407721939671e-18,2.7036364965136874e-06,0.999999999990262,0.47044493888300604,-8.45400254699879e-12,102400000,3.2975035999998,0.13063460000012128,3.644553000000087,stencil
heat,0.4,102,heat_r0.4,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.40000128648717775,0.1999977279841895,0.4000009855286327,0.3949767396546139,0.24796647329165958,0.3570567870537267,0.4,0.19999999999999996,0.4,4.544031620895561e-06,2.7907654482832796e-06,2.2720158104616583e-06,0.06457658432191969,0.1999977279841895,-3.7619711287996633e-07,0.19999999999999996,0.0,3.902820029133637e-17,3.902820029133637e-17,2.3452153177265653e-07,3.7525942509612506e-18,2.6603276441824175e-06,0.9999999999853295,0.08815513091025408,-1.3259872752152554e-11,102400000,3.2786372000000483,0.05881859999954031,3.5323715000004086,stencil
heat,0.4,103,heat_r0.4,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.39999977979975326,0.20000041095532553,0.3999998092449212,0.27566034630868175,0.41639382787156604,0.3079458258197522,0.4,0.19999999999999996,0.4,8.219106511775376e-07,5.037458966539832e-07,4.10955325574891e-07,0.2660086637780682,0.20000041095532553,3.680647880106315e-08,0.19999999999999996,0.0,3.684889749678073e-18,3.684889749678073e-18,2.0635844897596432e-07,3.323590873395431e-18,1.3543844118081918e-06,0.9999999999972793,0.1523632782345293,-2.6676242958324294e-13,102400000,3.306171899999754,0.08091130000047997,3.630337900000086,stencil
heat,0.4,104,heat_r0.4,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.3999996386003708,0.20000068305619603,0.39999967834343325,0.28469220677627904,0.3750865394997716,0.34022125372394935,0.4,0.19999999999999996,0.4,1.3661123920705176e-06,8.370414601130651e-07,6.830561960768922e-07,0.21800156421105316,0.20000068305619603,4.96788704819948e-08,0.19999999999999996,0.0,6.1074640928824835e-18,6.1074640928824835e-18,7.018017010949618e-07,3.520244692108956e-18,3.1961463823167417e-06,0.9999999999980891,0.21957745895902653,-8.094808845717241e-13,102400000,3.288616199999524,0.05537040000035631,3.6043142999997144,stencil
