pde,r,seed,layer,head,is_baseline,entropy,peak,window_mass,d_stencil,d_acf,d_spectral,spectral_kmax,z_stencil,z_acf,z_spectral,label,best_z,gate_threshold,floor_threshold
wave,0.25,210,1,0,False,0.9168843373172751,0.04768284782767296,0.036534006241708994,0.37915234025293665,0.02301536307582989,0.018492204395020202,5,6.899385091229951,9.060834260874495,9.300408988866426,no_fit,6.899385091229951,0.9996896743994793,-1.9827702415236381
wave,0.25,210,1,1,False,0.9962680900725023,0.02135755866765976,0.1148901479318738,0.3798359365518942,0.024506885547385757,0.019789811312276737,5,7.221498154245805,11.195588679634547,11.42153129648376,no_fit,7.221498154245805,0.9996896743994793,-1.9827702415236381
wave,0.25,210,1,2,False,0.9060946893096447,0.049273598939180374,0.04072947637178004,0.45578142910262187,0.0766615461475375,0.06842041522593406,5,43.00729053648676,85.8423970907504,90.91514174382115,no_fit,43.00729053648676,0.9996896743994793,-1.9827702415236381
wave,0.25,210,1,3,False,0.9226127766136094,0.05380572751164436,0.31841384060680866,0.4283881600969647,0.04764574689732823,0.041091166612113594,5,30.099482523357587,44.31328382259755,46.241613794575215,no_fit,30.099482523357587,0.9996896743994793,-1.9827702415236381
wave,0.25,210,2,0,False,0.9711991092432589,0.03142007440328598,0.06480404082685709,0.38375931683635134,0.026927522461306273,0.02198022093713289,5,9.070209217675677,14.660146168208708,15.002066091971113,no_fit,9.070209217675677,0.9996896743994793,-1.9827702415236381
wave,0.25,210,2,1,False,0.8676534526794087,0.06711926311254501,0.016526228631846607,0.4520164668720733,0.0776577218490581,0.06939509647305117,5,41.23322663638899,87.26818216689757,92.50839630233371,no_fit,41.23322663638899,0.9996896743994793,-1.9827702415236381
wave,0.25,210,2,2,False,0.9968424322913734,0.01942354440689087,0.10212708450853825,0.38319106944672743,0.024820638709129837,0.0200658503957682,5,8.802448980381163,11.644650602070373,11.872756278395775,no_fit,8.802448980381163,0.9996896743994793,-1.9827702415236381
wave,0.25,210,2,3,False,0.997699316162386,0.019383328035473824,0.1459259670227766,0.35914721867659716,0.014193150063951634,0.010633408572845518,5,-2.5271009748679143,-3.566034304306305,-3.545905952693875,acf_or_spectral,-3.566034304306305,0.9996896743994793,-1.9827702415236381
wave,0.25,210,3,0,False,0.989931948938729,0.020987525582313538,0.08643991872668266,0.37422442137183637,0.02022863847701467,0.015946581105027658,5,4.577331786515556,5.072310611624666,5.139227142973164,no_fit,4.577331786515556,0.9996896743994793,-1.9827702415236381
wave,0.25,210,3,1,False,0.9941906379745249,0.01950129307806492,0.07803623424842954,0.38744955247405294,0.02717828350490087,0.022198116481442817,5,10.809061675366014,15.0190500775196,15.358247223267313,no_fit,10.809061675366014,0.9996896743994793,-1.9827702415236381
wave,0.25,210,3,2,False,0.9962359545822008,0.02301391027867794,0.12395444978028536,0.354877196636069,0.013166378059341457,0.009733933243267353,5,-4.539150894853193,-5.035610603491545,-5.016225786340779,acf_or_spectral,-5.035610603491545,0.9996896743994793,-1.9827702415236381
wave,0.25,210,3,3,False,0.9982837379168565,0.018722832202911377,0.1334082530811429,0.37021113779564846,0.019584328965529554,0.015368855272041074,5,2.6862579649508564,4.150137058813756,4.194852436166339,no_fit,2.6862579649508564,0.9996896743994793,-1.9827702415236381
wave,0.25,211,0,0,False,0.8175998353457389,0.07672526687383652,0.09495528694242239,0.3494593878426469,0.01091494782809477,0.007827258206732534,5,-7.092042108490123,-8.257989566156613,-8.132956207231059,acf_or_spectral,-8.257989566156613,0.9996896743994793,-1.9827702415236381
wave,0.25,211,0,1,False,0.9691008297633791,0.03214716911315918,0.05961532099172473,0.2584012056996208,0.004450157733846608,0.004526453916223024,5,-49.99898880711142,-17.51077622089362,-13.528588367146988,acf_or_spectral,-49.99898880711142,0.9996896743994793,-1.9827702415236381
wave,0.25,211,0,2,False,0.8159755876711853,0.07635803520679474,0.39109549485147,0.4426608210987731,0.05737204556419789,0.05019781251917245,5,36.824812311845854,58.23413278950654,61.12771645336353,no_fit,36.824812311845854,0.9996896743994793,-1.9827702415236381
wave,0.25,211,0,3,False,0.9266523259559686,0.045721907168626785,0.14121711440384388,0.47650008497218105,0.08341505909628759,0.0748517023771616,5,52.76999655741226,95.50842082451182,101.42799156123975,no_fit,52.76999655741226,0.9996896743994793,-1.9827702415236381
wave,0.25,211,1,0,False,0.9280465808531655,0.048382360488176346,0.15268092695623636,0.4089657865966231,0.041236019864856324,0.03510619131999573,5,20.94758947072766,35.139306650573,36.45832392934401,no_fit,20.94758947072766,0.9996896743994793,-1.9827702415236381
wave,0.25,211,1,1,False,0.9909697252470854,0.025959674268960953,0.1439360836520791,0.34391569543543743,0.010476274815328802,0.007445126953063842,5,-9.704250138912634,-8.885844104222056,-8.757603868872797,acf_or_spectral,-9.704250138912634,0.9996896743994793,-1.9827702415236381
