pde,r,condition,seed,input_step_index,reference_scope,evaluation_scope,weighting,n_modes,mode_min,mode_max,rmse_reference,rmse_identity,reference_advantage,fraction_modes_closer_reference,magnitude_rmse_reference,phase_mae_reference
heat,0.1,heat_r0.1,115,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.278733796233046,0.010226366256489832,-0.9292195424560633,0.0,0.27873379555521516,1.4503596149559613e-05
heat,0.1,heat_r0.1,115,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24168322938537443,0.010064920127454283,-0.9200397687376735,0.15625,0.2416832276075099,2.0694385237964788e-05
heat,0.1,heat_r0.1,115,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0012923667360611357,0.004668090525230633,0.5663531573478475,1.0,0.0012919274658094056,3.064586265804201e-05
heat,0.1,heat_r0.1,116,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.0043738176614911495,0.009056106026406734,0.34864593974833513,1.0,0.004373751528786013,2.1099864974021237e-05
heat,0.1,heat_r0.1,116,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03995607802936067,0.007139383952389515,-0.6968122340468356,0.0,0.03995604572806011,4.9126259337117296e-05
heat,0.1,heat_r0.1,116,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.28033566346318045,0.008486013737689854,-0.9412370025689727,0.0,0.2803356630389438,8.704465538993585e-06
heat,0.1,heat_r0.1,116,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24309200527676647,0.008461818641729698,-0.9327235936236744,0.15625,0.2430920042261821,1.4430789869290755e-05
heat,0.1,heat_r0.1,116,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017536382376293535,0.004319771192871474,0.42251934183046025,1.0,0.0017535768592972303,8.29364909701815e-06
heat,0.1,heat_r0.1,117,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.004996754436717929,0.008387166455258744,0.2533197891638228,1.0,0.004996676109173158,2.086092199287671e-05
heat,0.1,heat_r0.1,117,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03952693218461747,0.007656055070207999,-0.6754739148303923,0.0,0.039526875083065065,5.5827562797429224e-05
heat,0.1,heat_r0.1,117,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2798213968379829,0.00903355307297172,-0.9374526690592875,0.0,0.2798213965982644,5.5324327237666275e-06
heat,0.1,heat_r0.1,117,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24264250400273318,0.008814211341613299,-0.9298948025345589,0.15625,0.24264250267130863,1.2642677616470945e-05
heat,0.1,heat_r0.1,117,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.002032071406815278,0.0039926912081386275,0.32542689673066066,1.0,0.0020320083989865166,1.1915493227711283e-05
heat,0.1,heat_r0.1,118,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.0043551900811449815,0.009080679007575186,0.35170697892534547,1.0,0.004355111106216941,2.1515883436654282e-05
heat,0.1,heat_r0.1,118,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03923330195859384,0.00838772018703981,-0.6477303590255307,0.0,0.03923329762991628,1.6986362938065706e-05
heat,0.1,heat_r0.1,118,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.28038828452896986,0.008359359948531393,-0.9420991990174817,0.0,0.2803882843687757,5.325926581196575e-06
heat,0.1,heat_r0.1,118,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24312643037993772,0.008478739543668857,-0.9326028193598469,0.15625,0.24312642995484757,8.948773248318323e-06
heat,0.1,heat_r0.1,118,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.001739099926535116,0.004317124942247481,0.42568185157738225,1.0,0.0017390350061341773,9.643924523003905e-06
heat,0.1,heat_r0.1,119,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.00427875691999207,0.00914415435291626,0.3624696113982439,1.0,0.00427872216490619,1.3048083363756546e-05
heat,0.1,heat_r0.1,119,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03865343765604572,0.008559587983750566,-0.6374056579616616,0.0,0.03865335465904122,8.209917641889138e-05
heat,0.1,heat_r0.1,119,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.278849236057812,0.010098766274257926,-0.9300997674823718,0.0,0.27884923519108307,1.5261081866481637e-05
heat,0.1,heat_r0.1,119,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24178627690149723,0.009819494895033157,-0.9219453923896943,0.15625,0.24178627481179416,2.1181372214719254e-05
heat,0.1,heat_r0.1,119,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017088675505034722,0.004340348721405996,0.43501191767969016,1.0,0.0017088057717412324,1.3437060015170554e-05
heat,0.25,heat_r0.25,100,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.022366048225186133,0.013080445152954041,-0.2619611190639951,0.6000000000000001,0.02236597435703695,4.268178214002905e-05
heat,0.25,heat_r0.25,100,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.10288579510848632,0.015100972805998836,-0.7440226040102433,0.0,0.10288576953623199,4.9436387265232305e-05
heat,0.25,heat_r0.25,100,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7086819570457519,0.012482398695318829,-0.9653826521071139,0.0,0.7086819569682423,6.282097496830952e-06
heat,0.25,heat_r0.25,100,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.6146081183080225,0.012844083047498562,-0.9590595649525153,0.09375,0.6146081174196488,1.632923596525658e-05
heat,0.25,heat_r0.25,100,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.008829891904029906,0.0076619922477626865,-0.07081662989612222,0.9287697347054678,0.008829842139981716,1.7712445425315673e-05
heat,0.25,heat_r0.25,101,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.017620727836546717,0.016877090188601677,-0.021556077761293164,0.8,0.017620572719067758,4.446171527550734e-05
heat,0.25,heat_r0.25,101,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.10136170905410699,0.017095480474990182,-0.7113644086450162,0.0,0.10136169378918167,5.2479341627616736e-05
heat,0.25,heat_r0.25,101,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7073463041701192,0.013874728470557476,-0.9615243376368086,0.0,0.707346304108529,6.734704679534418e-06
heat,0.25,heat_r0.25,101,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.6134050989912173,0.014706653880284984,-0.9531718557627636,0.125,0.6134050980052372,1.7246606738376728e-05
heat,0.25,heat_r0.25,101,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.006963388337596501,0.008873531492335947,0.12061329950848108,0.9722501212813841,0.006963299706957191,1.2222044795163307e-05
heat,0.25,heat_r0.25,102,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.021373262610180233,0.01271290525301346,-0.2540724845317166,0.6000000000000001,0.02137287072877484,0.00010524751316990516
heat,0.25,heat_r0.25,102,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.1056806165325834,0.011977676052889465,-0.7963989483497174,0.0,0.10568060608547225,4.577073977761802e-05
heat,0.25,heat_r0.25,102,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7084913749227452,0.012808058598148967,-0.9644861537305564,0.0,0.7084913747902347,1.0352604573214283e-05
heat,0.25,heat_r0.25,102,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.6144822500503794,0.012717601891708,-0.9594464129660468,0.09375,0.6144822476375815,2.9085796463429297e-05
heat,0.25,heat_r0.25,102,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.008697739251087978,0.00705094517753358,-0.10456708819192065,0.9287697347054678,0.00869754531240478,3.3548578359752164e-05
heat,0.25,heat_r0.25,103,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.015683175831122834,0.01823103851229585,0.07512669040105445,0.8,0.015683159299611858,1.8509957029183544e-05
heat,0.25,heat_r0.25,103,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.1030011598315893,0.014846459816230338,-0.7480397167019908,0.0,0.1030011434967869,5.722194010020297e-05
heat,0.25,heat_r0.25,103,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7060915462339666,0.015426088006651824,-0.957239886387843,0.0,0.7060915460342349,9.85977354980586e-06
heat,0.25,heat_r0.25,103,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.6123373265283014,0.01584519497547296,-0.9495522577178939,0.125,0.6123373260318156,1.5838399906195527e-05
heat,0.25,heat_r0.25,103,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.006342824907080218,0.009173760278313167,0.1824457725336284,0.9722501212813841,0.006342809829624213,1.1891820166229658e-05
heat,0.25,heat_r0.25,104,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.02541877843501816,0.011019251954085076,-0.3951785079261379,0.6000000000000001,0.025418740131020308,3.613715874192696e-05
heat,0.25,heat_r0.25,104,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.10378763765590589,0.013890445894834905,-0.763924675254495,0.0,0.10378763745324836,6.682189157512055e-06
heat,0.25,heat_r0.25,104,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7094925837101291,0.011630775081827275,-0.9677426200662492,0.0,0.7094925836690593,6.357781686283246e-06
heat,0.25,heat_r0.25,104,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.615341866994184,0.01176933426020158,-0.9624649209369572,0.09375,0.6153418667082337,1.1192301289247922e-05
heat,0.25,heat_r0.25,104,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.010079814568666901,0.007066873211283906,-0.17571564817934998,0.9287697347054678,0.010079794189857208,1.269608423000811e-05
heat,0.25,heat_r0.25,105,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.02219946410591136,0.012261517595832777,-0.28838257122476596,0.6000000000000001,0.022199374746272402,4.321523613275816e-05
heat,0.25,heat_r0.25,105,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.10538745790225088,0.012334813139291866,-0.7904421477744162,0.0,0.1053874559722409,2.05012998713191e-05
heat,0.25,heat_r0.25,105,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7083537969193716,0.012960081369632363,-0.9640653486374771,0.0,0.7083537968963327,3.4276808834588674e-06
heat,0.25,heat_r0.25,105,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.6143631374369624,0.012795624170111987,-0.9591949440766045,0.09375,0.6143631368814821,1.1497314212816195e-05
heat,0.25,heat_r0.25,105,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.008928751766644902,0.007029906672696545,-0.11898525813844761,0.9287697347054678,0.008928675389961751,1.539369019224195e-05
heat,0.25,heat_r0.25,106,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.015017043693481264,0.018553743028514643,0.10535050501858209,1.0,0.015016685146166027,7.128292260211195e-05
heat,0.25,heat_r0.25,106,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.10106634679781715,0.01689933425486066,-0.7134872769087099,0.0,0.10106629297576834,9.1060551232668e-05
heat,0.25,heat_r0.25,106,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7028332988293602,0.01900001667316274,-0.9473562212629784,0.0,0.7028332987972638,4.215616548206319e-06
heat,0.25,heat_r0.25,106,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.6094865226158688,0.018743319311944513,-0.9403297390189936,0.15625,0.6094865203710759,2.3437272494106743e-05
