pde,r,seed,checkpoint,validation_path,test_path,n_validation_pairs,n_test_pairs,n_layers,n_heads,head_dispersion,patched_noop_max_abs,mse_original,mse_persistence,skill,target,substitution,preserves_head_identity,calibration_split,evaluation_split,mse,excess,ratio
lf,0.1,314,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_314\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_314\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_314\test.npy,2048,2048,4,4,0.007215312196313179,5.960464477539063e-08,7.798210414217133e-09,6.957278856134508e-06,0.9988791292435633,all,frozen_layer_mean_validation,False,validation,test,1.9222725469170143e-06,0.27548451950604264,246.50175422459316
lf,0.1,314,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_314\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_314\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_314\test.npy,2048,2048,4,4,0.007215312196313179,5.960464477539063e-08,7.798210414217133e-09,6.957278856134508e-06,0.9988791292435633,all,analytical_stencil,False,validation,test,9.324015900347149e-05,13.41573069211621,11956.609792611236
lf,0.1,314,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_314\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_314\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_314\test.npy,2048,2048,4,4,0.007215312196313179,5.960464477539063e-08,7.798210414217133e-09,6.957278856134508e-06,0.9988791292435633,all,original,True,none,test,7.798210414217133e-09,0.0,1.0
lf,0.1,315,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_315\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_315\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_315\test.npy,2048,2048,4,4,0.010120793618299784,5.960464477539063e-08,5.7897713585247645e-09,2.8608067168534035e-06,0.9979761752779674,all,frozen_per_head_validation,True,validation,test,1.731955202761981e-07,0.058635641088517536,29.91405179086871
lf,0.1,315,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_315\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_315\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_315\test.npy,2048,2048,4,4,0.010120793618299784,5.960464477539063e-08,5.7897713585247645e-09,2.8608067168534035e-06,0.9979761752779674,all,frozen_layer_mean_validation,False,validation,test,2.2448678956843438e-06,0.7842608877887781,387.72997354706195
lf,0.1,315,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_315\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_315\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_315\test.npy,2048,2048,4,4,0.010120793618299784,5.960464477539063e-08,5.7897713585247645e-09,2.8608067168534035e-06,0.9979761752779674,all,analytical_stencil,False,validation,test,7.67578755045406e-06,2.6864981628913047,1325.7496842517548
lf,0.1,315,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_315\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_315\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_315\test.npy,2048,2048,4,4,0.010120793618299784,5.960464477539063e-08,5.7897713585247645e-09,2.8608067168534035e-06,0.9979761752779674,all,original,True,none,test,5.7897713585247645e-09,0.0,1.0
lf,0.1,316,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_316\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_316\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_316\test.npy,2048,2048,4,4,0.01028492037103915,1.1920928955078125e-07,4.882869187108896e-09,4.7975363486330025e-06,0.9989822131960501,all,frozen_per_head_validation,True,validation,test,1.3869021410831128e-07,0.027919261322575866,28.40342609924157
lf,0.1,316,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_316\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_316\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_316\test.npy,2048,2048,4,4,0.01028492037103915,1.1920928955078125e-07,4.882869187108896e-09,4.7975363486330025e-06,0.9989822131960501,all,frozen_layer_mean_validation,False,validation,test,2.644593396161632e-06,0.5507826798443428,541.606439743161
lf,0.1,316,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_316\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_316\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_316\test.npy,2048,2048,4,4,0.01028492037103915,1.1920928955078125e-07,4.882869187108896e-09,4.7975363486330025e-06,0.9989822131960501,all,analytical_stencil,False,validation,test,8.278285918095207e-06,1.7262677313079255,1695.373273556138
